,Estimate,Std. Error,t value,Pr(>|t|),aic,N,r_squared,adj_r_squared
(Intercept),-3.41481948258486e-17,0.0792926732587506,-4.30660153358874e-16,1,309.36406630182,116,0.365799954980694,0.270669948227799
AU1,0.371742410058896,0.197840131784147,1.87900405598438,0.0631560683340694,,,,
AU2,-0.334755871656895,0.218331825364671,-1.53324358964968,0.12837358206087,,,,
AU4,-0.027058820107168,0.121736068183212,-0.222274470590299,0.824553555255141,,,,
AU5,-0.157589266276274,0.132325438978235,-1.19092192320022,0.23650341694756,,,,
AU6,0.202646088635326,0.163403928882773,1.24015432199739,0.217820392487744,,,,
AU7,-0.040974904638599,0.1068214859251,-0.383582986922027,0.702101854571053,,,,
AU10,-0.276156139325153,0.116442451837206,-2.37161048198501,0.0196257161897874,,,,
AU12,0.190721352204985,0.170326025205349,1.11974286944726,0.265505595017153,,,,
AU14,-0.171415530175963,0.0880465594684666,-1.94687369058815,0.0543553381259646,,,,
AU15,-0.170407482078694,0.120204561978586,-1.41764571388773,0.159402669127562,,,,
AU17,-0.150015469906271,0.085297400959792,-1.75873436022964,0.0816816924088022,,,,
AU21,0.0109722968649399,0.102657646229273,0.106882412250469,0.915096399773771,,,,
AU23,0.0156422600435955,0.0880749773480856,0.177601635726512,0.859395094707267,,,,
AU25,0.199117090961389,0.134851876035201,1.47656151931778,0.142935429575882,,,,
AU26,0.0258110453668178,0.0999857337081835,0.258147281712704,0.796823781413974,,,,
